```
1700

67   3032  |  1477  4589  |  -225  N  211  |  -225  N  97  |
     3032  |  1478  4588  |  -225  64  |  -216  2  62  |
     3032  |  1479  4587  |  -225  49  |  -225  N  291  |

68   3032  |  1480  4586  |  -225  54  |  -218  2  61  |
     3032  |  1481  4585  |  -225  53  |  -228  3  58  |
     3032  |  1482  4584  |  -225  55  |  -218  6  54  |

69   3032  |  1480  4586  |  -225  59  |  -230  3  50  |
     3032  |  1481  4585  |  -225  54  |  -232  N  48  |
     3032  |  1484  4583  |  -225  52  |  -220  N  40  |

70   3032  |  1481  4585  |  -225  N  123  |  -225  N  302  |
     3032  |  1482  4584  |  -225  78  |  -220  N  301  |
     3032  |  1483  4583  |  -225  62  |  -220  29  57  |

71   3032  |  1482  4584  |  -225  57  |  -233  N  313  |
     3032  |  1483  4583  |  -225  N  234  |  -220  19  67  |
     3032  |  1484  4582  |  -225  72  |  -225  N  300  |

72   3032  |  1483  4583  |  -225  68  |  -225  N  35  |
     3032  |  1484  4582  |  -225  62  |  -225  19  62  |
     3032  |  1485  4581  |  -225  70  |  -225  N  302  |
```
