entry,g_hebrew,g_latin,named_value,decomposition,r_digit_sum,d_each,d_2part,c_reverse,c_double,band_hebrew,band_latin
Ange lus [...] . 84. Annum interiorem misificiis,1132,358,,,7,377,754,2311,2264,52,70
"Anis [...] 807. Anomorum (anni 1530, A)",582,182,,,15,194,388,285,1164,6,38
[...]. 125. Anno [...],107,41,,,8,35,70,701,214,35,41
[...]. 125. 125. Annunciata D. Mariae vginis,593,219,,,17,197,394,395,1186,17,3
[...] this status 8th & [...],1015,177,,,7,338,676,5101,2030,7,33
Anni abreniantes und. 121. Annus nigrificius [...],1180,364,,,10,393,786,811,2360,28,4
Adiacens cum v. numerava Babins duplicis [...] 383.,1087,335,,,16,362,724,7801,2174,7,47
Aquilae hieroglyphico rotat .....................................[...] 297.,753,276,,,15,251,502,357,1506,33,60
Aquilae idae pro improb.tis Oi [...]. 113.,882,267,,,18,294,588,288,1764,18,51
Adus ail. [...],112,65,,,4,37,74,211,224,40,65
Anticuum Abri concantandum. [...],612,245,,,9,204,408,216,1224,36,29
Eclessiae Rm. & Just. 117. — [...],506,172,,,11,168,336,605,1012,2,28
Abbreviatus Babolonici et. quitus. Aeschiaca. [...],972,370,,,18,324,648,279,1944,36,10
Societas. &. [...],166,87,,,13,55,110,661,332,22,15
Christ(i)(a)na Eccl(e)si(a) [...],490,153,,,13,163,326,94,980,58,9
Christ(i) capitis cor(p)us [...].,1079,245,,,17,359,718,9701,2158,71,29
Heis(t) collob(d)(i)um m(a)g(i)s & mal(i)s [...],493,258,,,16,164,328,394,986,61,42
Heis(t) crea(c)ius injust(i)c(i) [...].,586,247,,,19,195,390,685,1172,10,31
"Celians, hoc gl. Templi. [...].",404,174,,,8,134,268,404,808,44,30
Celians pro templi. [...].,626,177,,,14,208,416,626,1252,50,33
"Cognata Stella & Mois, 250. quod inicie liberatoris marquisuis Nef. [...].",1703,567,,,11,567,1134,3071,3406,47,63
Cognata Stella propeici. [...]. ti ab anno domini 162. 801.,875,343,,,20,291,582,578,1750,11,55
"Cognata Indorum, se. f. [...].",546,177,,,15,182,364,645,1092,42,33
Columbae praecisae [...].,477,143,,,18,159,318,774,954,45,71
Siren Plect. les. [...].,549,149,,,18,183,366,945,1098,45,5
Corretta anni 1612. [...].,556,131,,,16,185,370,655,1112,52,59
Condita iter capell. [...].,480,159,,,12,160,320,84,960,48,15
Confessio [...].,292,100,,,13,97,194,292,584,4,28
Et miori [...] S. Salutationes.,577,252,,,19,192,384,775,1154,1,36
Recalcitrationis nota mihi [...].,767,253,,,20,255,510,767,1534,47,37
Dissensu auctore Orion [...].,764,253,,,17,254,508,467,1528,44,37
Huc const.[it]ionis O. [...].,337,204,,,13,112,224,733,674,49,60
Diversim ab pacis[is] [...].,574,170,,,16,191,382,475,1148,70,26
"Ecclesia & Imperiis mis miscis, applicatis [...]",1382,358,,,14,460,920,2831,2764,14,70
[...] & foris credidits [...],914,152,,,14,304,608,419,1828,50,8
"Germani, Ilud [...] 882. subternationi hominis 593.",948,352,,,21,316,632,849,1896,12,64
[...] non est 313.,175,82,,,13,58,116,571,350,31,10
"Habibiti Christis cum 1047. hominibus exigits, [...] de bello Deu et 239.",1093,496,,,13,364,728,3901,2186,13,64
Helias [...].,106,52,,,7,35,70,601,212,34,52
Iacob. et Robaham ina[...] go regitur cum meretcdc 472.,1160,351,,,8,386,772,611,2320,8,63
Iesus virgo finem [...],541,183,,,10,180,360,145,1082,37,39
Iessododicius Mahame [...],343,185,,,10,114,228,343,686,55,41
"Ione, culturo dia in [...] cati vise 388. jardi Regioni vinisin. 388.",1234,473,,,10,411,822,4321,2468,10,41
Sadrur Gigionis Chiris vocat. [...],1190,285,,,11,396,792,911,2380,38,69
Iones trigoni rotat [...],639,217,,,18,213,426,936,1278,63,1
Iesus & his tabliatus. [...] enis cotnii sacraficii. [...],1196,395,,,17,398,796,6911,2392,44,35
Joseph Patriancha miserile in tuna P. S. p. [...] anni disparii ingressi,2091,581,,,12,697,1394,1902,4182,3,5
Jardi [...] Patriciis st. der Neide Peter [...],1251,301,,,9,417,834,1521,2502,27,13
"Jois frater Höltz, [...]",701,177,,,8,233,466,107,1402,53,33
"[...] legraca Ablo, est meina Brief. nenné & Gaius terak. eat für affen vassenregin",2157,556,,,15,719,1438,7512,4314,69,52
[...] heidis mirveir.,555,142,,,15,185,370,555,1110,51,70
[...] confalonus ruoles fre. & devantdiscernum,1571,392,,,14,523,1046,1751,3142,59,32
Mahometiciis. [...],211,119,,,4,70,140,112,422,67,47
Medietas superioris latit. et ad annos Christi 1420 [...].,1530,446,,,9,510,1020,351,3060,18,14
Monarchis perinis & vit [...].,810,229,,,9,270,540,18,1620,18,13
"Mons, in diem socius à Satarra aethis [...].",1375,326,,,16,458,916,5731,2750,7,38
Mons mans (et) Satis [...].,456,190,,,15,152,304,654,912,24,46
Correspondentiam in publicata [...].,955,283,,,19,318,636,559,1910,19,67
Moïzes (?) affaret d'minuns [...].,704,217,,,11,234,468,407,1408,56,1
Mundi regis ideis ejus [...],543,214,,,12,181,362,345,1086,39,70
Militis servus Pruna est 993	Miglierin deris Thoram [...],2181,511,,,12,727,1454,1812,4362,21,7
Mitationes reconciliorum 31	Miglierin der Herd [...],1559,419,,,20,519,1038,9551,3118,47,59
Misterii miseration	[...]	Miglierin et cal iaradiis,1434,414,,,12,478,956,4341,2868,66,54
Misteria abierunt ad 12 [...],613,182,,,10,204,408,316,1226,37,38
Misteria absrpente in [...],792,207,,,18,264,528,297,1584,0,63
Misterii eas eucharistiica [...],735,245,,,15,245,490,537,1470,15,29
Misterii euns liber [...] [...],697,199,,,22,232,464,796,1394,49,55
Misteria anno. [...] 216	Miglierin D. Martin,1104,298,,,6,368,736,4011,2208,24,10
Misteria confessioris de fi. [...],986,258,,,23,328,656,689,1972,50,42
Misteria Danebrielis [...],697,184,,,22,232,464,796,1394,49,40
Misteria milennii [...] 63	Miglierin azl,921,298,,,12,307,614,129,1842,57,10
Misterii Aldandr. Geo. [...],638,175,,,17,212,424,836,1276,62,31
Misterii larmoris [...],886,197,,,22,295,590,688,1772,22,53
"Oris virgi, adin cum Spiritu nis. [...].",1131,331,,,6,377,754,1311,2262,51,43
"Panis bacilla, facient America 242, et libro mis & foris scientia. [...].",1840,455,,,13,613,1226,481,3680,40,23
Papa principis missis. [...].,922,224,,,13,307,614,229,1844,58,8
"Pape sercedis keisifer foto, bus. [...].",1064,288,,,11,354,708,4601,2128,56,0
... [...]. des vinciis Monftri.,625,198,,,13,208,416,526,1250,49,54
"... [...], cum Jectricio",351,125,,,9,117,234,153,702,63,53
Phoenix redibere mel and in francise Rerum. [...],1622,361,,,11,540,1080,2261,3244,38,1
Phoenix & confectionis 130.[...],475,211,,,16,158,316,574,950,43,67
[...] dium fcribiae rude p 10 elegit. 670.,725,216,,,14,241,482,527,1450,5,0
Postiensvi res ps. nigris vite. 129.[...],1049,339,,,14,349,698,9401,2098,41,51
Pier & Son Gafart in Ba [...] silvanica medicinae civioe 258.,1138,373,,,13,379,758,8311,2276,58,13
"Cundiensigninous annos, [...] ab mirificis [...]",1005,344,,,6,335,670,5001,2010,69,56
"Romano imperio, [...] terea perpetua.",1235,297,,,11,411,822,5321,2470,11,9
Renunciationis et Archifistificis in adiacentitis [...],1303,464,,,7,434,868,3031,2606,7,32
Refractatoris misidi nibus [...],1058,270,,,14,352,704,8501,2116,50,54
Refractio Ecclesiae ditanda anos [...].,863,248,,,17,287,574,368,1726,71,32
Refractator Gentis [...].,858,190,,,21,286,572,858,1716,66,46
Refraxatoris misidi pri nisi [...].,1329,296,,,15,443,886,9231,2658,33,8
Refractio [...] 1784.,526,91,,,13,175,350,625,1052,22,19
Refractione prima in pun [...],1103,234,,,5,367,734,3011,2206,23,18
Refractione prima in [...] ampli.,1128,233,,,12,376,752,8211,2256,48,17
[...] ad sittà discedentis [...].,540,177,,,9,180,360,45,1080,36,33
"Refractione secunda, qua congregatientes [...] et cumlvir Oriol.",1818,549,,,18,606,1212,8181,3636,18,45
"Ref.v a. 1781. aris [...], gr.",761,118,,,14,253,506,167,1522,41,46
Col. Rodolphinum 2. direc[...] t. Indice Romanuin. 333. axis.,1267,415,,,16,422,844,7621,2534,43,55
Adsumtionem Celsi [...],346,174,,,13,115,230,643,692,58,30
& Sorum Afflictorum [...],794,201,,,20,264,528,497,1588,2,57
Romani constitutionis interii net interitus [...] 202.,1324,512,,,10,441,882,4231,2648,28,8
"Rader David & Stolla nus 347. passent contra Marian, [...] uccatorum Romanorum [...]",2387,649,,,20,795,1590,7832,4774,11,1
"Radios Saecernovena Sivia 742. dana Arabicki etpida nexx repone, sei cum re [...] fauna Specialiterne ves [...]",2598,793,,,24,866,1732,8952,5196,6,1
"Vidente rhistito [...] pritivnus d’David pol. 38. arinalibus Atomier, Bove",1614,631,,,12,538,1076,4161,3228,30,55
"Stella Cognata Venus, et [...] 206 Stella ruggens cadens de 356.",1162,430,,,10,387,774,2611,2324,10,70
Stella Cognata mij. Av. et specific. 114. Stella Cognata m. [...].,857,402,,,20,285,570,758,1714,65,42
"Stella Cognata, [...] m. 593 Stella nova in 1572 209.",513,270,,,9,171,342,315,1026,9,54
Pax & Constantinopolis [...] Finium ad orientis Christi 69.,1626,502,,,15,542,1084,6261,3252,42,70
Prima clímbad de lippius [...] Primi Millenaris 211.,1479,362,,,21,493,986,9741,2958,39,2
Confessionis [...] Primi Monarcha Minorum 470.,1410,369,,,6,470,940,141,2820,42,9
Ponte or divorciatoria [...] 31.,834,234,,,15,278,556,438,1668,42,18
Primi et actuosos [...] Primi Teigerccarius 586.,1396,390,,,19,465,930,6931,2792,28,30
Primi Referend. Imperiitor [...] Primi Tè minibus Monara GA. primi resurgent inter [...] suos.,3537,809,,,18,1179,2358,7353,7074,9,17
Ad latria exter Balis [...]. Princetos Esediae in anno 576. Princetos vero Gai... cony tratar in 1553. [...].,2480,728,,,14,826,1652,842,4960,32,8
"Praeindicatio fontificisci, [...] U. Misso. 72.",1168,329,,,16,389,778,8611,2336,16,41
Elinguis Ciuicis 156. [...],525,165,,,12,175,350,525,1050,21,21
Edelgorio cum Eroops 2093. [...],677,205,,,20,225,450,776,1354,29,61
"Traditiones Mhimwise, 681. [...]",530,224,,,8,176,352,35,1060,26,8
Traditiones baphuisi 892. [...],528,211,,,15,176,352,825,1056,24,67
Ticiens [...],159,76,,,15,53,106,951,318,15,4
[...] 494. tidiis dona probata in,523,191,,,10,174,348,325,1046,19,47
