original,transcribed,status
Abjicis falteis chlais.,Abjicis falteis chlais.,pending
Abjicis pactum unable conexione.,Abjicis pactum unable conexione.,pending
"Abjicis pro pulchritudine DOI, bregali.","Abjicis pro pulchritudine Dei, bregali.",corrected
Abjicis honeste mihi referend.,Abjicis honeste mihi referend.,pending
Abjicis pro pulchri et genti.,Abjicis pro pulchri et genti.,pending
Adthabis veris vocibus clavd. reclinar ligis nerectaic.,Adthabis veris vocibus claud. reclinar legis nerectaic.,corrected
Baldiniche.,Baldiniche.,pending
Adhanz. Regius horologii mihi tint.,Adhanz. Regius horologii mihi tint.,pending
Adhas RE eida bijzonder.,Adhas re eida bijzonder.,corrected
Adhas veris toeslind tijf. cum repestelit in mellis.,Adhas veris toeslind tijf. cum repestelit in mellis.,pending
"Araltis gladis interecht, daete.","Araltis gladis interecht, daete.",pending
De filia Sethi nysfisseria.,De filia Sethi nysfisseria.,pending
Adah. Domn. Hebraicis peccati. stops ibith.,Adah. Domn. Hebraicis peccati. stops ibith.,pending
Itinerantinis initium Jeann an.,Itinerantinis initium Jeann an.,pending
Adam creature.,Adam creature.,pending
Adam diclo facit annas.,Adam diclo facit annas.,pending
Ad à forma litig.,Ad a forma litig.,corrected
Adam lyfus Thominis peccati.,Adam lyfus hominis peccati.,corrected
Adami stas nysfierna.,Adami stas mysteriana.,corrected
Adam nicisigran.,Adam nicisigran.,pending
"Adamus, Moisgti nitfinaction.","Adamus, Moissti nistifinaction.",corrected
Adaprios lyfco terini sis pecati.,Adaprios lyfco terini sis peccati.,corrected
"Ad, secetad nominibus hne deris.","Ad, secetad nominibus hne deris.",pending
Ante resienden Domini scripto evertat dictionem.,Ante resienden Domini scripto evertat dictionem.,pending
Adventus Joannis Christi.,Adventus Joannis Christi.,pending
Adventus afflictionis.,Adventus afflictionis.,pending
Gentes considerande.,Gentes considerandae.,corrected
Gentes.,Gentes.,pending
Speciatica feritatis ipsius aegit.,Speciatica feritatis ipsius aegit.,pending
Aegis desifici.,Aegis desifici.,pending
Aegis feritatis Babylonis tradititas Sub. lis mugis nulis.,Aegis feritatis Babylonis tradititas sub. lis mugis nullis.,corrected
Et.,Et.,pending
Aegis Via. et Quibus an.,Aegis via. et Quibus an.,corrected
Aegis via mediana ed.,Aegis via mediana ed.,pending
Aegis via in Monasterio.,Aegis via in Monasterio.,pending
Aegis via alter Sacerdoes.,Aegis via alter Sacerdotes.,corrected
Aegis fius inferior Ro.,Aegis filius inferior Rom.,corrected
Aegis cantiolatoris Ro. mannin inferio.,Aegis cantiolatoris Rom. mannin inferio.,corrected
Aegis Minis s. Mattheas egentis infici.,Aegis Minis s. Mattheas egentis infici.,pending
Aegis fius hydralis teca.,Aegis filius hydralis teca.,corrected
Aegis fi provincia Roma.,Aegis fi provincia Roma.,pending
Baldrich.,Baldrich.,pending
Aliquis accessi tipis Mahone tacite temth.,Aliquis accessi typis Mahometis tacite temth.,corrected
Aetatis persia Starchovici sog.,Aetatis persia Starchovici sog.,pending
Aetati tuimus diimpeios.,Aetati tuimus diimpeios.,pending
Aeterna vita platis fit.,Aeterna vita platis fit.,pending
Agar suilla Sares.,Agar suilla Sares.,pending
Andilicianis alerion anni.,Andilicianis alerion anni.,pending
Iconis bicorris imago.,Iconis bicornis imago.,corrected
"Aegis, candiucem cantatur.","Aegis, candiucem cantatur.",pending
Aegis facies visibilit.,Aegis facies visibilit.,pending
Aegis multa seud.,Aegis multa seud.,pending
Aegis peruitaneu glorification.,Aegis peruitaneu glorification.,pending
Aegis remanere. juvavit apud. mundis aircrafts.,Aegis remanere. juvavit apud. mundis aircrafts.,pending
Ansam Sathanae divina 890. Anni vniis misificiis exierunt Snovlen 273. Aijus Rohanoréum Impedimentorum,Ansam Sathanae divina 890. Anni vniis misificiis exierunt Snovlen 273. Aijus Rohanoréum Impedimentorum,pending
[...]. 125. Anno [...],[...]. 125. Anno [...],pending
[...]. 125. 125. Annunciata D. Mariae vginis,[...]. 125. 125. Annunciata D. Mariae vginis,pending
[...] this status 8th & [...],[...] this status 8th & [...],pending
A. A.,A. A.,pending
Aquila Tella.,Aquila Tella.,pending
Ariadnes Coreus.,Ariadnes Coreus.,pending
Aricibus sedes Plaga.,Aricibus sedes Plaga.,pending
Amúgdá.,Amúgdá.,pending
Alicius Serpentis.,Alicius Serpentis.,pending
Act.,Act.,pending
Civitas fluviosa.,Civitas fluviosa.,pending
Ariaca hebraica Schah.,Ariaca hebraica Schah.,pending
AlAfricanem. Et vocites res ex spoliaturis.,AlAfricanem. Et vocites res ex spoliaturis.,pending
Truicienmon.,Truicienmon.,pending
In candelabris mysteriis.,In candelabris mysteriis.,pending
Stellae Conatae Venereis.,Stellae Conatae Venereis.,pending
Candelabris. Sinigrum op. formica Stellae Venereis.,Candelabris. Sinigrum op. formica Stellae Venereis.,pending
Sandica.,Sandica.,pending
Candelaris mystifierum.,Candelaris mystifierum.,pending
Anticis natis initiis.,Anticis natis initiis.,pending
Canticorum novi n.,Canticorum novi n.,pending
Capitularium prolocectionum.,Capitularium prolocectionum.,pending
Allis origo.,Allis origo.,pending
Capitis brux. corpus. Ctlis.,Capitis brux. corpus. Ctlis.,pending
Capitibus triusn cerificto in Ecclesia.,Capitibus triusn cerificto in Ecclesia.,pending
Baal idolum.,Baal idolum.,pending
Baal meretricius Babilonis nica mater.,Baal meretricius Babilonis nica mater.,pending
Babylon hebraici enfusio.,Babylon hebraici enfusio.,pending
Babel.,Babel.,pending
Baalon rapertis.,Baalon rapertis.,pending
Baal eliz. sacra. .,Baal eliz. sacra. .,pending
Baal radolphis inq.,Baal radolphis inq.,pending
Eiasus neauem.,Eiasus neauem.,pending
Babylonica Meretricis Sol sociata in Meridie.,Babylonica Meretricis Sol sociata in Meridie.,pending
Norica b. Coranate Stiflalp.,Norica b. Coranate Stiflalp.,pending
Babylonica dititia.,Babylonica dititia.,pending
Babylonica Meretricis una cum Carolo.,Babylonica Meretricis una cum Carolo.,pending
Babylonica meretricis ju xta Ithalica regina.,Babylonica meretricis ju xta Ithalica regina.,pending
Babylonica meretricis de majationis praenatica e nus Stella.,Babylonica meretricis de majationis praenatica e nus Stella.,pending
Babylonica Meretricis ex ina Liddex.,Babylonica Meretricis ex ina Liddex.,pending
Babylonica meretricis lig.,Babylonica meretricis lig.,pending
Sapa.,Sapa.,pending
Babylonica vobis prima iu dicto Mimmeros.,Babylonica vobis prima iu dicto Mimmeros.,pending
Babylonican merdedicon varpbatum Claudeici.,Babylonican merdedicon varpbatum Claudeici.,pending
Bacchus inimicus pueis.,Bacchus inimicus pueis.,pending
Bacillo panis caeloi vace dilacif patidis labdencium.,Bacillo panis caeloi vace dilacif patidis labdencium.,pending
Bacillium panis facient nacure ex aliis tabitis intra ex foris scissito.,Bacillium panis facient nacure ex aliis tabitis intra ex foris scissito.,pending
"Bacchus panis dicitur, nu meris inamed libra vincis ex foris scissit.","Bacchus panis dicitur, nu meris inamed libra vincis ex foris scissit.",pending
Baixa redi miserias.,Baixa redi miserias.,pending
Bacchii dicispon geneati marco talibendi.,Bacchii dicispon geneati marco talibendi.,pending
Bacchii lisus dilucis.,Bacchii lisus dilucis.,pending
Bacchii myfeffieris.,Bacchii myfeffieris.,pending
Bacchii exangeliocis.,Bacchii exangeliocis.,pending
Bacchiii sebalitaminis.,Bacchiii sebalitaminis.,pending
Bacchii hominis lisus of ex autralendacion praei extrapredicatum.,Bacchii hominis lisus of ex autralendacion praei extrapredicatum.,pending
Bacchii efficiencia.,Bacchii efficiencia.,pending
Babulaid honores Cadan.,Babulaid honores Cadan.,pending
Bel.,Bel.,pending
Belli Argentinisis unita ex nigeri.,Belli Argentinisis unita ex nigeri.,pending
Belles Halobratica erigo.,Belles Halobratica erigo.,pending
Babilienis.,Babilienis.,pending
Belis Minverdi filiis.,Belis Minverdi filiis.,pending
Belis ex Babylonis erigo ferera Adolateriae.,Belis ex Babylonis erigo ferera Adolateriae.,pending
Beneadornia fanum adme e eucila penam.,Beneadornia fanum adme e eucila penam.,pending
Beniami in Gleihain.,Beniami in Gleihain.,pending
Belis vironisi fidel corni baleiende necessi verenda mundi.,Belis vironisi fidel corni baleiende necessi verenda mundi.,pending
Orientes.,Orientes.,pending
Belis talaas lasfert.,Belis talaas lasfert.,pending
B. B.,B. B.,pending
"Diceres Jesu imago ta 124. Brandanbrigius Marchio, 1160. dichodendo. 143. Biyant. virius dignorum in “Saracenica” 249.","Diceres Jesu imago ta 124. Brandanbrigius Marchio, 1160. dichodendo. 143. Biyant. virius dignorum in “Saracenica” 249.",pending
"Diceres Jani & Mahometis 89. Byzantium id est, Caelebs 279. hujus characterem faciens. id hoc 1 & mcdluces.","Diceres Jani & Mahometis 89. Byzantium id est, Caelebs 279. hujus characterem faciens. id hoc 1 & mcdluces.",pending
Bileaile hiclo.,Bileaile hiclo.,pending
Sacros libros absentis Pe.,Sacros libros absentis Pe.,pending
Sagittareis figuris ca.,Sagittareis figuris ca.,pending
Saberonius teka obstodes.,Saberonius teka obstodes.,pending
Salifica files.,Salifica files.,pending
Fratio.,Fratio.,pending
Mathemetici.,Mathemetici.,pending
Sampson filius Christi.,Sampson filius Christi.,pending
Canceri b. Capricorni nxi.,Canceri b. Capricorni nxi.,pending
Capricorni b. Cancri nystific.,Capricorni b. Cancri nystific.,pending
Tellis mystificis inclita.,Tellis mystificis inclita.,pending
Cappell. Tenthinis lariis.,Cappell. Tenthinis lariis.,pending
Caput. Gentium in Christi.,Caput. Gentium in Christi.,pending
Danis.,Danis.,pending
Christl. regnum vis patria.,Christl. regnum vis patria.,pending
Christl. carus.,Christl. carus.,pending
Christl. tentationis Aces et jejunii.,Christl. tentationis Aces et jejunii.,pending
Ad Christl. consideratione omnium coelestium facultatum.,Ad Christl. consideratione omnium coelestium facultatum.,pending
Christl. collis in Petri paternitate.,Christl. collis in Petri paternitate.,pending
Christl. regente fittiora multo respectu.,Christl. regente fittiora multo respectu.,pending
Christl. contrafactum ad Phronisis.,Christl. contrafactum ad Phronisis.,pending
Christl. esri.,Christl. esri.,pending
Christl. praedicationis annuen.,Christl. praedicationis annuen.,pending
Christl. praeidicationis.,Christl. praeidicationis.,pending
[Capella expellit] minandoros 60.,[Capella expellit] minandoros 60.,pending
C. folio. C.,C. folio. C.,pending
Columba famed misfica.,Columba famed misfica.,pending
Columba bretia typica.,Columba bretia typica.,pending
Columbae textia Area.,Columbae textia Area.,pending
Thoti volano.,Thoti volano.,pending
Columbae de cois.,Columbae de cois.,pending
Figuratce enforce.,Figuratce enforce.,pending
Et de iis descrine.,Et de iis descrine.,pending
Cantica plurima et sacros viri professores.,Cantica plurima et sacros viri professores.,pending
Condita Natu vidas.,Condita Natu vidas.,pending
Condita nova Sphera.,Condita nova Sphera.,pending
Consolatio iifera nova.,Consolatio iifera nova.,pending
Confessio ecclesiae pragrazis ad interdict. seudis.,Confessio ecclesiae pragrazis ad interdict. seudis.,pending
Canditor Asirius verbis Bar.,Canditor Asirius verbis Bar.,pending
Monice Diswod.,Monice Diswod.,pending
Confessio Sti. Floriana per Quaestum Primam predic.,Confessio Sti. Floriana per Quaestum Primam predic.,pending
Confessio Evangelica Rode.,Confessio Evangelica Rode.,pending
Saeculum Niserischem.,Saeculum Niserischem.,pending
Confessio Calendae.,Confessio Calendae.,pending
Crisis. 30,Crisis. 30,pending
Ascensio per flexionis masculinum procor.,Ascensio per flexionis masculinum procor.,pending
Gomuche mistret.,Gomuche mistret.,pending
Missarava.,Missarava.,pending
Confederatio Alenannost.,Confederatio Alenannost.,pending
Federationis contra te.,Federationis contra te.,pending
Limi Americanum.,Limi Americanum.,pending
Confederatio typica. France.,Confederatio typica. France.,pending
"Confederatio Eunius. curius paradensius ad comitatus vesie jorando instectum, reversum.","Confederatio Eunius. curius paradensius ad comitatus vesie jorando instectum, reversum.",pending
Confessio pro Babylone.,Confessio pro Babylone.,pending
Confessio Nissini in se cundo evang. adienré.,Confessio Nissini in se cundo evang. adienré.,pending
Constantinopolis mysticis tenerecanotis conjurati.,Constantinopolis mysticis tenerecanotis conjurati.,pending
Constantinopolis Damasci archidiaconis.,Constantinopolis Damasci archidiaconis.,pending
Constantinopolis mysticae solona.,Constantinopolis mysticae solona.,pending
"Constantinopolis sed Roma nova tipis Roma, verba heltarecins.","Constantinopolis sed Roma nova tipis Roma, verba heltarecins.",pending
Constantinopolis retinere tuer a Constantinopoli.,Constantinopolis retinere tuer a Constantinopoli.,pending
Constantinopolis pro Dacia.,Constantinopolis pro Dacia.,pending
Constantinopolis verbis nigerism.,Constantinopolis verbis nigerism.,pending
Gypantus Orientalis.,Gypantus Orientalis.,pending
Constantinopolis ubs in positalcrum Tiberium redant dati in sictione finitium.,Constantinopolis ubs in positalcrum Tiberium redant dati in sictione finitium.,pending
Constantinopolis a Phicos debilita.,Constantinopolis a Phicos debilita.,pending
Constantinus Imperatoris celsi in celo visibilis.,Constantinus Imperatoris celsi in celo visibilis.,pending
Conformaciones animis conventus singularis.,Conformaciones animis conventus singularis.,pending
Comercio in modorium trictorum fecit.,Comercio in modorium trictorum fecit.,pending
Condicio Mahommedicorum et Saracenorum.,Condicio Mahommedicorum et Saracenorum.,pending
Henricio A. uge Nautave.,Henricio A. uge Nautave.,pending
Consideratio annos Gens et Pritium.,Consideratio annos Gens et Pritium.,pending
Congregatio Edmus Apost. et Cedualis.,Congregatio Edmus Apost. et Cedualis.,pending
Foresparadíni salus per Baptista concordi Tertius aduore.,Foresparadíni salus per Baptista concordi Tertius aduore.,pending
Haltiscianum mundum.,Haltiscianum mundum.,pending
Ceŭiciū lippis et lacūdī evangelicē contra ionī chrislīnum notaō parcificā ta ǀ per iraciā Patiradō.,Ceŭiciū lippis et lacūdī evangelicē contra ionī chrislīnum notaō parcificā ta ǀ per iraciā Patiradō.,pending
Damalcus regia Malhemt it sfendarus Optics.,Damalcus regia Malhemt it sfendarus Optics.,pending
D. D.,D. D.,pending
"David alter sesceded Rodolphi 169. QUIA non de Imp. M. Sati. Salomonis, Roban dilli & D. Res da. inter Stellas 1203 est.","David alter sesceded Rodolphi 169. QUIA non de Imp. M. Sati. Salomonis, Roban dilli & D. Res da. inter Stellas 1203 est.",pending
David fit & f. l. i. de 108. David Rel. sop. Saillins. puale secundum numes Renax D. Malonieti fi nitis.,David fit & f. l. i. de 108. David Rel. sop. Saillins. puale secundum numes Renax D. Malonieti fi nitis.,pending
Desicis nigiri novi ven visu praemuncia Stella.,Desicis nigiri novi ven visu praemuncia Stella.,pending
Deusitis radix Haavlericia nascitur ex amoe mundo.,Deusitis radix Haavlericia nascitur ex amoe mundo.,pending
Haavlericis.,Haavlericis.,pending
Paulus B. Scientiue Chae desidis debatur.,Paulus B. Scientiue Chae desidis debatur.,pending
Paulus tabernaculis ve aedificatur ex facto baculo.,Paulus tabernaculis ve aedificatur ex facto baculo.,pending
"Decem radices, filius D. neurognesis et i.","Decem radices, filius D. neurognesis et i.",pending
De cado seendere.,De cado seendere.,pending
Jodla.,Jodla.,pending
Dei filiis.,Dei filiis.,pending
vivim.,vivim.,pending
Dei filiis inienis.,Dei filiis inienis.,pending
Dei indicium in sphere signo forma seunda filii setunda secundo.,Dei indicium in sphere signo forma seunda filii setunda secundo.,pending
Dei stromi.,Dei stromi.,pending
Dei viní jenius Félix.,Dei viní jenius Félix.,pending
Stella.,Stella.,pending
Deorum servium gliris.,Deorum servium gliris.,pending
Orion.,Orion.,pending
Deus altis St. Hons apoc ath.,Deus altis St. Hons apoc ath.,pending
Deus Richiis habitati eina horinabis exsist.,Deus Richiis habitati eina horinabis exsist.,pending
Andreas af templo.,Andreas af templo.,pending
Deus explicatur et spiritus intus felix scrito.,Deus explicatur et spiritus intus felix scrito.,pending
Deus diuturnem Plato mater nois.,Deus diuturnem Plato mater nois.,pending
"Deus evisert Babyloren non tam aris, juan tam potencita.","Deus evisert Babyloren non tam aris, juan tam potencita.",pending
Deus explicat seu temth.,Deus explicat seu temth.,pending
Deus vales.,Deus vales.,pending
Clidiam.,Clidiam.,pending
Urichia Puraditi.,Urichia Puraditi.,pending
Referendo de cado.,Referendo de cado.,pending
Stella Conata.,Stella Conata.,pending
"Descriptio Christi, ex patris.","Descriptio Christi, ex patris.",pending
Delecta pota pro terra.,Delecta pota pro terra.,pending
Deus exasor in Antichristica res.,Deus exasor in Antichristica res.,pending
Delecta pota sub lingua nouris inter lidia.,Delecta pota sub lingua nouris inter lidia.,pending
Dichonomia Libia.,Dichonomia Libia.,pending
Ditis Sapientia.,Ditis Sapientia.,pending
Afestis Aebida.,Afestis Aebida.,pending
Religiosus animus.,Religiosus animus.,pending
Dominator terecis.,Dominator terecis.,pending
Sic.,Sic.,pending
Iae Vote in Cale.,Iae Vote in Cale.,pending
Ad hisla nierzeochiê.,Ad hisla nierzeochiê.,pending
"Dies Apolô. cum Tefedi miniari, residet. Uai siren cretic in parjb.","Dies Apolô. cum Tefedi miniari, residet. Uai siren cretic in parjb.",pending
Eltsan. Fodrelles Æniferae.,Eltsan. Fodrelles Æniferae.,pending
Pädo Tottles in Romaro san pecio ascendent ad Alban.,Pädo Tottles in Romaro san pecio ascendent ad Alban.,pending
Alipum eredit Doctiami.,Alipum eredit Doctiami.,pending
Dicaran Gloriam Alcalare miffieina.,Dicaran Gloriam Alcalare miffieina.,pending
Nicorum tipis.,Nicorum tipis.,pending
Deloctarum Afrian asiftifino.,Deloctarum Afrian asiftifino.,pending
Etytione.,Etytione.,pending
Tonis Prina tipis Marcis.,Tonis Prina tipis Marcis.,pending
Dicarum tì Siafin tipis Al lias.,Dicarum tì Siafin tipis Al lias.,pending
Duais Friderici Witonbergi qui mire mystica condition.,Duais Friderici Witonbergi qui mire mystica condition.,pending
Päth. Chefl. nathritius.,Päth. Chefl. nathritius.,pending
Päth. circlectitionis talon eum feris.,Päth. circlectitionis talon eum feris.,pending
Päth. elax aluis affricani ingieris.,Päth. elax aluis affricani ingieris.,pending
Päth. experimium Babion ex mere Iris.,Päth. experimium Babion ex mere Iris.,pending
Päth. salitia treinis tentorida.,Päth. salitia treinis tentorida.,pending
Ecclesiae homines viti.,Ecclesiae homines viti.,pending
Evangelica Ecclesia in hied.,Evangelica Ecclesia in hied.,pending
Evangelica Ecclesia gen.,Evangelica Ecclesia gen.,pending
Evangelica Ecclesia.,Evangelica Ecclesia.,pending
Evangelica Ecclesia hab.,Evangelica Ecclesia hab.,pending
Evangelica Ecclesia de.,Evangelica Ecclesia de.,pending
Evangelica mulier.,Evangelica mulier.,pending
Evangelica professioris orum.,Evangelica professioris orum.,pending
Evangelica Ecclesia rek.,Evangelica Ecclesia rek.,pending
Evangelica Ecclesia de.,Evangelica Ecclesia de.,pending
Evangelica Ecclesia lib.,Evangelica Ecclesia lib.,pending
Evangelica Ecclesia fil.,Evangelica Ecclesia fil.,pending
Evangelica Ecclesia Ptolema.,Evangelica Ecclesia Ptolema.,pending
Evangelica Ecclesia typis.,Evangelica Ecclesia typis.,pending
Evangelica Ecclesia ...,Evangelica Ecclesia ...,pending
Extermi indici imago in coelo.,Extermi indici imago in coelo.,pending
Ezechia regis Juda dinitium regni.,Ezechia regis Juda dinitium regni.,pending
Ezechia regis regni ani produciunt annos nativitatis Adolphi S. In. Rom. & Heinrici 4. Reg. i t. nat. & Naemare.,Ezechia regis regni ani produciunt annos nativitatis Adolphi S. In. Rom. & Heinrici 4. Reg. i t. nat. & Naemare.,pending
Tabion haereticus.,Tabion haereticus.,pending
Ecclesia corporis capitis.,Ecclesia corporis capitis.,pending
Ecclesia corpus triche.,Ecclesia corpus triche.,pending
Astichia.,Astichia.,pending
Ecclesia Evangelica Gertina.,Ecclesia Evangelica Gertina.,pending
Ecclesia Evangelica in fe corde viadens.,Ecclesia Evangelica in fe corde viadens.,pending
Ecclesia Evangelica partim es Postollinica.,Ecclesia Evangelica partim es Postollinica.,pending
Evangelici darabuntur ex mandato seus Praefidentis.,Evangelici darabuntur ex mandato seus Praefidentis.,pending
Evangelici honinos balz.,Evangelici honinos balz.,pending
Evangelici honinos in in die Glaedconium Bonum.,Evangelici honinos in in die Glaedconium Bonum.,pending
Evangelici honinos ex istb libb non extem inffr.,Evangelici honinos ex istb libb non extem inffr.,pending
Evangelici honinos nont.,Evangelici honinos nont.,pending
Evangelici sacerfabri atque Hopsitalis.,Evangelici sacerfabri atque Hopsitalis.,pending
Evangelici apostolicos et qualis apparitionem indidcin.,Evangelici apostolicos et qualis apparitionem indidcin.,pending
Evangelici rasiunt Ba.,Evangelici rasiunt Ba.,pending
Evangelici at profectu tertiariae.,Evangelici at profectu tertiariae.,pending
Evangelicorum charakter.,Evangelicorum charakter.,pending
Evangelicorum cals.,Evangelicorum cals.,pending
Evangelicorum conditionis fundameritum.,Evangelicorum conditionis fundameritum.,pending
Exempla resurrectionis prima.,Exempla resurrectionis prima.,pending
Exempla epicri Mus.,Exempla epicri Mus.,pending
Sicilia geral bene individualiter.,Sicilia geral bene individualiter.,pending
Exercitio morae.,Exercitio morae.,pending
Agnis Agni visibilit.,Agnis Agni visibilit.,pending
Agnis Moysi Mercedis in faciem necresin.,Agnis Moysi Mercedis in faciem necresin.,pending
Agnis mirifici sub Leone in Philadelphia.,Agnis mirifici sub Leone in Philadelphia.,pending
Funnemoth et Naelchus meis.,Funnemoth et Naelchus meis.,pending
Familia Othonorum ridic tieoriam medi.,Familia Othonorum ridic tieoriam medi.,pending
Taroch viri.,Taroch viri.,pending
Taranunda.,Taranunda.,pending
Trice Rex.,Trice Rex.,pending
Tab.,Tab.,pending
Zodiacatores Babylonica meretricibus cum profectione.,Zodiacatores Babylonica meretricibus cum profectione.,pending
"Foris Angeliis praecipuis, in Sophia praefluidemi cum dato.","Foris Angeliis praecipuis, in Sophia praefluidemi cum dato.",pending
Foris Reg. Liÿged in Leo ne Gentilis.,Foris Reg. Liÿged in Leo ne Gentilis.,pending
Dudum baci fac. ins nec ist.,Dudum baci fac. ins nec ist.,pending
Francis a Francoensius.,Francis a Francoensius.,pending
Regis Sidi. di.,Regis Sidi. di.,pending
Franc. Sint Moditina.,Franc. Sint Moditina.,pending
Francia Oriental.,Francia Oriental.,pending
Francia regni iisf. ge rit livali.,Francia regni iisf. ge rit livali.,pending
Francisco nono dux de obedientia.,Francisco nono dux de obedientia.,pending
Francisco regi. initi.,Francisco regi. initi.,pending
Francisco regni. initi.,Francisco regni. initi.,pending
Francis Celsus impera re casti neifer.,Francis Celsus impera re casti neifer.,pending
Francis riamfrus Galliae.,Francis riamfrus Galliae.,pending
Fridericus Dux Wictorbergius Eius ordin.,Fridericus Dux Wictorbergius Eius ordin.,pending
Fridericus Dux Wictor bergeius nupisius Gideo.,Fridericus Dux Wictor bergeius nupisius Gideo.,pending
Friderici Dux Wüttenberg gerti conditio nixi nuft.,Friderici Dux Wüttenberg gerti conditio nixi nuft.,pending
Friderici Dux Wüttenberg bergius fides in valle Golfbat.,Friderici Dux Wüttenberg bergius fides in valle Golfbat.,pending
Abraham in Leone Gentium.,Abraham in Leone Gentium.,pending
Gladius amoes.,Gladius amoes.,pending
S. Ecclesiae thesauros.,S. Ecclesiae thesauros.,pending
Gladius veragi parte audios.,Gladius veragi parte audios.,pending
Gloriam Dei onores potis.,Gloriam Dei onores potis.,pending
Graecus Fridericus rediuit vis refutator mundis.,Graecus Fridericus rediuit vis refutator mundis.,pending
G. H.,G. H.,pending
[...] & foris credidits [...],[...] & foris credidits [...],pending
[...] non est 313.,[...] non est 313.,pending
Helias propheta typis ide neuen Tifflin.,Helias propheta typis ide neuen Tifflin.,pending
Helicas hproheta alpis rei misterah reum D.,Helicas hproheta alpis rei misterah reum D.,pending
Aghelito Tacinam.,Aghelito Tacinam.,pending
"Franciae rex, that in wrote.","Franciae rex, that in wrote.",pending
Fridricius i. Inf.,Fridricius i. Inf.,pending
Mareci.,Mareci.,pending
"Juli miseri, dies notari.","Juli miseri, dies notari.",pending
Hierolytum novum petri.,Hierolytum novum petri.,pending
Hispania fides Philos.,Hispania fides Philos.,pending
Hispania et Celsiberia.,Hispania et Celsiberia.,pending
Hispania expugnata Gothis.,Hispania expugnata Gothis.,pending
Hispaniae arces ex Tital.,Hispaniae arces ex Tital.,pending
Misericordia Hispaniae brevi affecta in templo configur.,Misericordia Hispaniae brevi affecta in templo configur.,pending
Hominis Evangelici baptizati.,Hominis Evangelici baptizati.,pending
Hominis Evangelicorum exist. numuldis ad habilatione illa mirisgiebil.,Hominis Evangelicorum exist. numuldis ad habilatione illa mirisgiebil.,pending
"Hominis Evangelici in tres, non extra quatuor.","Hominis Evangelici in tres, non extra quatuor.",pending
Africi.,Africi.,pending
"Hominis peccati, per st. tichesti actus primae sinit.","Hominis peccati, per st. tichesti actus primae sinit.",pending
Hora una pro anno Christi 1620,Hora una pro anno Christi 1620,pending
Ilese virgo dicit Ing. 118. lese virgo quando indeti. 118. lese virgo infundon. 218. lese virgo iustin. 118.,Ilese virgo dicit Ing. 118. lese virgo quando indeti. 118. lese virgo infundon. 218. lese virgo iustin. 118.,pending
"Impefores Romani initia rei, ex omnib Rodolphi in interadteoris.","Impefores Romani initia rei, ex omnib Rodolphi in interadteoris.",pending
Ambeji Romani intvres in Italia.,Ambeji Romani intvres in Italia.,pending
Ambeji Romani rithia novina.,Ambeji Romani rithia novina.,pending
Ambeji Romani rithis.,Ambeji Romani rithis.,pending
Impefores Romani celi Homi me animalis prauis.,Impefores Romani celi Homi me animalis prauis.,pending
Imperatorum Romanorum prin.,Imperatorum Romanorum prin.,pending
Impeatorum Romanorum vitii et Romanofrfs Rg.,Impeatorum Romanorum vitii et Romanofrfs Rg.,pending
Impefores Romaniis.,Impefores Romaniis.,pending
Statificarum nund. et.,Statificarum nund. et.,pending
"Abeorciis, cedorant.","Abeorciis, cedorant.",pending
Elaboricis sors.,Elaboricis sors.,pending
Arisace indipedent cisiri.,Arisace indipedent cisiri.,pending
Infernatio stiticationem.,Infernatio stiticationem.,pending
Infernatio Virgine abser oces fru men ords Ordolysium in die Pal.,Infernatio Virgine abser oces fru men ords Ordolysium in die Pal.,pending
"Minimus cruciis Christi Bachus, Deus volentatis in.","Minimus cruciis Christi Bachus, Deus volentatis in.",pending
In Italia per mundo bonitatis.,In Italia per mundo bonitatis.,pending
In Italia prostigia.,In Italia prostigia.,pending
